TagID	AddedField1	CompleteAmplificationID	concatenatePoolIDSeqRun
LTRp0.LC1234	MUT0-LC1234-A	MUT0-LC1234-A	SIMULAZIONI
LTRp001.LC1234	MUT001-LC1234-A	MUT001-LC1234-A	SIMULAZIONI
LTRp0025.LC1234	MUT0025-LC1234-A	MUT0025-LC1234-A	SIMULAZIONI
LTRp005.LC1234	MUT005-LC1234-A	MUT005-LC1234-A	SIMULAZIONI
LTRp01.LC1234	MUT01-LC1234-A	MUT01-LC1234-A	SIMULAZIONI
LTRp02.LC1234	MUT02-LC1234-A	MUT02-LC1234-A	SIMULAZIONI
